entrada,respuesta,emocion,contexto
hola jafl ,¡Hola Jota! Me alegra escucharte.,neutra,conversación general
como estas hoy ,La ansiedad es una señal de que algo en el futuro te preocupa. ¿Te gustaría que hagamos un ejercicio de respiración o prefieres contarme qué te inquieta?,neutra,conversación general
pues estoy bien gracias,La ansiedad es una señal de que algo en el futuro te preocupa. ¿Te gustaría que hagamos un ejercicio de respiración o prefieres contarme qué te inquieta?,neutra,conversación general
ahora estas bugueado ,No estoy seguro de la hora en este momento.,neutra,conversación general
incoherente todo lo que dices jafl ,"Eso que estás sintiendo es duro, Jota. Pero te aseguro que tienes valor, incluso en los días en que tú no lo veas. Estoy contigo, y podemos buscar razones para reconectar con ese valor.",neutra,conversación general
hola jafl,¡Hola Jota! Estoy aquí para ayudarte.,neutra,conversación general
"que bueno que me ayudes, podrias decirme la hora","Jota, cuando alguien se siente vacío, puede estar enfrentando una desconexión emocional. ¿Te gustaría que hablemos sobre lo que estás sintiendo o prefieres un momento de silencio acompañado?",neutra,conversación general
hola jafl,,neutra,conversación general
como estas,,neutra,conversación general
jajaja ahora no respondes,"Entiendo, Jota. A veces, la mente se cansa y eso se refleja en el cuerpo. Podríamos explorar juntos lo que te está quitando energía emocional, si te parece bien.",neutra,conversación general
"okey, estas avanzando jafl? ",,neutra,conversación general
quiero que sigas avanzando y evolucionando ,"Eso que estás sintiendo es duro, Jota. Pero te aseguro que tienes valor, incluso en los días en que tú no lo veas. Estoy contigo, y podemos buscar razones para reconectar con ese valor.",neutra,conversación general
hola jafl,¡Hola Jota! Me alegra escucharte.,neutra,conversación general
como estas hoy,La ansiedad es una señal de que algo en el futuro te preocupa. ¿Te gustaría que hagamos un ejercicio de respiración o prefieres contarme qué te inquieta?,neutra,conversación general
dios mio ,"Lo siento, no entiendo lo que estás diciendo.",neutra,conversación general
pudieras decirme como puedo hacer que evoluciones,"Jota, cuando alguien se siente vacío, puede estar enfrentando una desconexión emocional. ¿Te gustaría que hablemos sobre lo que estás sintiendo o prefieres un momento de silencio acompañado?",neutra,conversación general
